start,end,text,speaker,robot-guess,certainty,status,round,transaction unit,position,gold character,final guess,circle,robot_correct,tu relation,hum-selection
0,42070.0,"Hoi [NAME], leuk dat je er weer bent. Weet je nog dat je mij de vorige keer vertelde over je lievelings vakantiebestemming? Het grappige is, mijn vrienden zijn daar ook geweest en hebben daar ook een footo gemaakt. Weet je nog hoe het spelletje werkt? Als je op de knop op het scherm drukt, dan zie je mijn vrienden. We vertellen elkaar in elke ronde wie er op welke plek staat. Zullen we beginnen met de eerste ronde?",Robot,,,,0.0,,,,,,,,
42070,42082.0,"Ja, laten we beginnen.",Human,,,,0.0,,,,,,,,
42082,55332.0,"Leuk, ik heb er weer zin in. Druk maar op de knop om naar de eerste ronde te gaan.",Robot,,,,0.0,,,,,,,,
55332,55332.0,Laten we beginnen!,Robot,,,,1.0,,,,,,,,
55332,71095.0,Wie staat er bij jou op plek 1?,Robot,,,,1.0,1.0,1.0,,,,,,
71095,74607.0,Op plek 1 zie ik een vrouw met kort haar en een bril.,Human,1.0,0.1722698235453976,SUCCESS_LOW,1.0,1.0,1.0,31.0,,outer,,answer-description,
74607,85953.0,die vrouw met oorbellen?,Robot,,,,1.0,1.0,1.0,,,,,req-clar,
85953,85967.0,"Nee, de vrouw heeft geen oorbellen in, maar een bril op.",Human,,,,1.0,1.0,1.0,,,,,clar-negative,
85967,85967.0,"Oke, we proberen het opnieuw",Robot,,,,1.0,1.0,1.0,,,,,ack,
85967,100712.0,Wie staat er bij jou op plek 1?,Robot,,,,1.0,1.0,1.0,,,,,,
100712,101205.0,Een vrouw met kort bruin haar.,Human,31.0,0.6058263113821339,SUCCESS_HIGH,1.0,1.0,1.0,31.0,,outer,,answer-description,
101205,101207.0,"Oh, die staat bij mij op plek 5.",Robot,,,,1.0,1.0,1.0,31.0,31.0,outer,correct,ack-done,
101207,105383.0,En de figuur op plek 2?,Robot,,,,1.0,2.0,2.0,,,,,,
105383,117674.0,,,,,,1.0,,,,,,,,check1?choice=5
117674,118288.0,Op plek 2 staat een oude man met een bril.,Human,2.0,0.4395590486762087,SUCCESS_LOW,1.0,2.0,2.0,2.0,,inner,,answer-description,
118288,126288.0,die man met grijs haar?,Robot,,,,1.0,2.0,2.0,,,,,req-clar,
126288,126300.0,Ja.,Human,,,,1.0,2.0,2.0,,,,,clar-confirm,
126300,126301.0,"Oh, die staat bij mij op plek 3.",Robot,,,,1.0,2.0,2.0,2.0,2.0,inner,correct,ack-done,
126301,131220.0,"Oke, we gaan door met plek 3.",Robot,,,,1.0,3.0,3.0,,,,,,
131220,143142.0,,,,,,1.0,,,,,,,,check2?choice=3
143142,144047.0,Op plek 3 staat een vrouw met Bob.,Human,1.0,0.6474896369834118,SUCCESS_HIGH,1.0,3.0,3.0,1.0,,inner,,answer-description,
144047,144049.0,"Oh, die staat bij mij op plek 1.",Robot,,,,1.0,3.0,3.0,1.0,1.0,inner,correct,ack-done,
144049,147980.0,"Oke, en plek 4?",Robot,,,,1.0,4.0,4.0,,,,,,
147980,160171.0,,,,,,1.0,,,,,,,,check3?choice=1
160171,160635.0,Op plek 4 staat een man met kort bruin haar.,Human,30.0,0.0779979155641806,MATCH_MULTIPLE,1.0,4.0,4.0,30.0,,outer,,answer-description,
160635,168872.0,die man met kort haar?,Robot,,,,1.0,4.0,4.0,,,,,req-clar,
168872,168885.0,Ja.,Human,30.0,1.0,SUCCESS_HIGH,1.0,4.0,4.0,30.0,,outer,,clar-confirm,
168885,168886.0,"Oh ja, die staat bij mij op dezelfde plek.",Robot,,,,1.0,4.0,4.0,30.0,30.0,outer,correct,ack-done,
168886,174587.0,En op plek 5?,Robot,,,,1.0,5.0,5.0,,,,,,
174587,183615.0,,,,,,1.0,,,,,,,,check4?choice=4
183615,184036.0,Op plek vijf staat een kale man.,Human,3.0,0.6649908529407982,SUCCESS_HIGH,1.0,5.0,5.0,3.0,,inner,,answer-description,
184036,184036.0,"Even kijken, nee, bij mij staat die op plek 2.",Robot,,,,1.0,5.0,5.0,3.0,3.0,inner,correct,ack-done,
184036,198596.0,"We hebben ze allemaal gehad. Druk maar op de knop Ga Door. Voordat we doorgaan naar de volgende ronde, wil ik je vragen om eerst een paar vragen te beantwoorden. Ik ga stil zijn  terwijl jij de vragen beantwoord. Tik op het   scherm   op de knop, om door te gaan naar de vragen. Na de vragen gaan we weer door met het spel.",Robot,,,,1.0,,,,,,,,
198596,299947.0,,,,,,1.0,,,,,,,,check5?choice=2
299947,299948.0,Laten we verder gaan!,Robot,,,,2.0,,,,,,,,
299948,312503.0,Wie staat er bij jou op plek 1?,Robot,,,,2.0,6.0,1.0,,,,,,
312503,312881.0,Een oude man met een bril.,Human,2.0,0.6423576502991151,SUCCESS_HIGH,2.0,6.0,1.0,2.0,,inner,,answer-description,
312881,312882.0,"Even kijken, nee, bij mij staat die op plek 2. Dat gaat goed.",Robot,,,,2.0,6.0,1.0,2.0,2.0,inner,correct,ack-done; encourage,
312882,318849.0,"Oke, we gaan door met plek 2.",Robot,,,,2.0,7.0,2.0,,,,,,
318849,331319.0,,,,,,2.0,,,,,,,,check1?choice=2
331319,331810.0,Op plek 2 staat een kale man.,Human,3.0,0.5721507613144284,SUCCESS_LOW,2.0,7.0,2.0,3.0,,inner,,answer-description,
331810,340088.0,die kale man?,Robot,,,,2.0,7.0,2.0,,,,,req-clar,
340088,340194.0,Ja.,Human,,,,2.0,7.0,2.0,,,,,clar-confirm,
340194,340194.0,"die staat bij mij ergens anders, namelijk op plek 1.",Robot,,,,2.0,7.0,2.0,3.0,3.0,inner,correct,ack-done,
340194,345448.0,En op plek 3?,Robot,,,,2.0,8.0,3.0,,,,,,
345448,354941.0,,,,,,2.0,,,,,,,,check2?choice=1
354941,355600.0,Op plek 3 staat een kind.,Human,1.0,0.6591320636467477,SUCCESS_HIGH,2.0,8.0,3.0,39.0,,outer,,answer-description,
355600,355601.0,"Ja, die staat bij mij op dezelfde plek.",Robot,,,,2.0,8.0,3.0,39.0,1.0,outer,incorrect,ack-done,
355601,359586.0,En op plek 4?,Robot,,,,2.0,9.0,4.0,,,,,,
359586,369684.0,,,,,,2.0,,,,,,,,check3?choice=3
369684,370322.0,Op plek 4 staat een man met zonnebril.,Human,34.0,0.18269301026258,SUCCESS_LOW,2.0,9.0,4.0,34.0,,outer,,answer-description,
370322,378488.0,die man met zonnebril?,Robot,,,,2.0,9.0,4.0,,,,,req-clar,
378488,378500.0,Ja.,Human,,,,2.0,9.0,4.0,,,,,clar-confirm,
378500,378501.0,Bij mij staat die op plek 5. Geweldig gedaan.,Robot,,,,2.0,9.0,4.0,34.0,34.0,outer,correct,ack-done; encourage,
378501,383205.0,En de figuur op plek 5?,Robot,,,,2.0,10.0,5.0,,,,,,
383205,395809.0,,,,,,2.0,,,,,,,,check4?choice=5
395809,396093.0,Op plek vijf staat een vrouw met Bob.,Human,1.0,0.673447988544858,MATCH_PREVIOUS,2.0,10.0,5.0,1.0,,inner,,answer-description,
396093,416601.0,"Even kijken hoor, ik dacht dat we deze al hadden gehad. Laten we even een stap terug.  Kan je iets noemen wat specifiek is voor die figuur?",Robot,,,,2.0,10.0,5.0,,,,,req-clar,
416601,417135.0,De vrouw heeft oorbellen in.,Human,1.0,1.0,MATCH_PREVIOUS,2.0,10.0,5.0,1.0,,inner,,clar-repair,
417135,431523.0,"Wacht even, volgens mij hebben we deze al gehad. Wil je het  nog  een keer omschrijven?",Robot,,,,2.0,10.0,5.0,,,,,req-clar,
431523,432083.0,De vrouw heeft kort blond haar en oorbellen in.,Human,39.0,0.3815392723353846,SUCCESS_LOW,2.0,10.0,5.0,1.0,,inner,,clar-repair,
432083,440324.0,dat jongetje?,Robot,,,,2.0,10.0,5.0,,,,,req-clar,
440324,440333.0,"Nee, een vrouw met een bob.",Human,,,,2.0,10.0,5.0,,,,,clar-negative,
440333,440334.0,"Oke, we proberen het opnieuw",Robot,,,,2.0,10.0,5.0,,,,,ack,
440334,453069.0,Wie staat er bij jou op plek 5?,Robot,,,,2.0,10.0,5.0,,,,,,
453069,453560.0,Een vrouw met oorbellen.,Human,0.0,1.0,NO_MATCH,2.0,10.0,5.0,1.0,,inner,,answer-description,
453560,453561.0,"Sorry, ik denk dat ik deze niet kan vinden. Laten we deze plek overslaan en doorgaan naar de volgende. Vul op de  theblet maar in, niet gevonden.",Robot,,,,2.0,10.0,5.0,1.0,0.0,inner,incorrect,nack,
453561,462403.0,Oke. We gaan door naar de volgende ronde. Druk maar weer op de knop Ga Door.,Robot,,,,2.0,,,,,,,,
462403,468310.0,,,,,,2.0,,,,,,,,check5?choice=0
468310,468311.0,Laten we verder gaan!,Robot,,,,3.0,,,,,,,,
468311,491849.0,Wie staat er bij jou op plek 1?,Robot,,,,3.0,11.0,1.0,,,,,,
491849,492263.0,Op plek 1 staat een oude man met bril.,Human,2.0,0.4697494389183563,SUCCESS_LOW,3.0,11.0,1.0,2.0,,inner,,answer-description,
492263,498335.0,die meneer met bril?,Robot,,,,3.0,11.0,1.0,,,,,req-clar,
498335,498347.0,Ja.,Human,,,,3.0,11.0,1.0,,,,,clar-confirm,
498347,498348.0,"die staat bij mij ergens anders, namelijk op plek 2.",Robot,,,,3.0,11.0,1.0,2.0,2.0,inner,correct,ack-done,
498348,503382.0,En de figuur op plek 2?,Robot,,,,3.0,12.0,2.0,,,,,,
503382,513073.0,,,,,,3.0,,,,,,,,check1?choice=2
513073,513730.0,Een vrouw met bruin haar.,Human,38.0,0.6032337389929878,SUCCESS_HIGH,3.0,12.0,2.0,38.0,,outer,,answer-description,
513730,513730.0,"die staat bij mij ergens anders, namelijk op plek 3.",Robot,,,,3.0,12.0,2.0,38.0,38.0,outer,correct,ack-done,
